SAMPLE_SOURCE, SAMPLE_TRANSCRIPT, ARTIST, RECORDING, RELEASE
"Scarface","Is this it? @ 0:50
  Is this what it's all about, Manny? @ 1:06
  Is this it? Is this what it's all about, Manny? @ 1:57","Ice Cube","Fuck 'Em","Predator, The"
"Scarface","Who do I trust? Me! That's who. (Note: Repeated several times)","Ice Cube","Don't Trust 'Em","Predator, The"
"Scarface","I figured you wouldn't understand. @ 3:06","Insane Clown Posse","What is a Juggalo?","Great Milenko, The"
"Scarface","The time has come. We got to expand. The whole operation... distribution...
   New York... Chicago... L.A. We got to set our own mark, and enforce
   it. @ 0:03","Kool G Rap","Fast Life","4, 5, 6"
"Scarface","Nooo-nooo-noooo! @ 1:03 (Note: Repeated troughout the song) (Note: Gina)","Masta Ace Incorporated","Boom Bashin'","Slaughtahouse"
"Scarface","Go Ahead (Note: Repeated _way_ too many times to count)","Ministry","So What","Mind is a Terrible Thing to Taste, The"
"Scarface","'You're making moves on your own, eh?'
   'I got ears, you know. I hear things.'
   'Yeah? What do you hear about Echevierra, or the Diaz brothers? What about
    them? What about Gaspar Gomez? What is he gonna do when you start moving
    2000 keys of...'
   'Fuck Gaspar Gomez and fuck the fucking Diaz brothers! Fuck 'em all! I bury
    those cockroaches! What did they ever do for us?!' @ 0:02
  <You look tired???>. Time has come. We got to expand. The whole
   operation. @ 0:41
  Let's get this straight now: I never fucked anybody over in my life who
   didn't have it coming to him, you got that? All I have in this world is my
   balls and my word and I don't break 'em for no one, you understand? That
   piece of shit up there, I never liked him, I never trusted him. For all I
   know he had me set up and had my friend Angel Fernandez killed. But that's
   history. I'm here, he's not. You wanna go on with me, you say it. If you
   don't...let's make a move. @ 1:22
  'Why the fuck would I hurt you? I brought you in. So we had a few
    differences, eh? No big deal! I gave you your start. I was the one who
    believed in you!'
   'I stayed loyal to you. I made what I could on the side, but I never turned
    you Frank! Never! But you...if a man ain't got his word, he's a cockroach!'
   'Mel, do something, please...'
   'It's your tree Frank, you're sitting in it.' @ 2:40","PMD","Business Is Business","Business Is Business"
"Scarface","You're all a bunch of fucking assholes. You know why? You don't have the
   guts to be what you wanna be. You need people like me. You need people
   like me so you can point your fucking fingers, and say: That's the bad
   guy. @ 0:00
  So say goodnight to the bad guy. Come on. The last time you gonna see a bad
   guy like this again. @ 0:24
  You die, motherfucker! @ 2:22
  This is so fucking bad. @ 3:26","Puff Daddy","Gangsta Sh*t","Forever"
"Scarface","I told you, don't fuck with me! @ 1:41 (Note: Used several times.)","Radioactive Goldfish","Yahoo","Rhythm and Rave"
"Scarface","'I told you a long time ago you fuckin little monkey not to fuck me!'
   'Hey hey, who the fuck you think you goin for huh!? Who the fuck you
    think I am your fuckin dough-boy? You wanna go to war? Wanna go to
    war, okay?' @ 0:00","Raekwon","Criminology","Only Built for Cuban Linx"
"Scarface","Hey, fuck you man! Who put this thing together? Me! That's who. Who do I
   trust? Me! @ 0:01
  Say hello to my little friend! @ 2:55
  Say goodnight to the bad guy. @ 4:07
  Go ahead, I'll take your fucking bullets! You think you can get me with
   bullets?! I'll take your fucking bullets! Go ahead! [Gunshots firing with a
   loud moan as the bullets hit, followed by a splash in the water] @ 4:19","","",""
"Scarface","All I have in this world (Note: Repeated several times)","Scarface","Mr. Scarface","Mr. Scarface is Back"
"Scarface","Don't fuck with me! (Note: Repeated several times)","Scarface","Born Killer","Mr. Scarface is Back"
"Scarface","Say hello to my little friend! @ 2:26","Sister Machine Gun","Krackhead","Torture Technique, The"
"Scarface","Let's get this straight now I never fucked anybody over in my life didn't
   have a comt. You got that? All i have in this world is my balls and my word
   and I don't break them for no one. You understand? Tha piece of shit up
   there. I never liked him. I never trusted him. For all I know he had me set
   up and had my friend Angel Fernandez killed. But that's history. I here, 
   he's not. U wanna go out with me? U say it.","ThC","KoGeL VaNgeN VoOr Je MaTie","Almere"
"Scarface","Wait a minute","Xorcist","Be With Me","Phantoms"
"THX 1138","Never mind","Add N to X","Nevermind","On The Wires Of Our Nerves"
"THX 1138","My time is yours. @ 1:45
  Could you be more specific? @ 2:10
  Blessings of the state, blessings of the masses, by the masses, for the
   masses @ 3:06","Alien Sex Fiend","Blessings Of The State","Curse"
"THX 1138","Let us be thankful we have an occupation to fill. Work hard, increase
   production, prevent accidents and be happy. @ 0:01","Anenzephalia","Liebombast","Ephemeral Dawn"
"THX 1138","...4951","Babyland","Next Day In the Course of Time","Total Let-Down, A"
"THX 1138","[bing noise] Okay, hold it for <???> @ 0:01
  Ha ha ho @ 0:03 (Note: Distorted)
  What's wrong? @ 0:05
  I need something stronger @ 0:06 (Note: Distorted)
  Take 4 red capsules, in ten minutes take 2 more. Help is on the way @ 0:08","Chandeen","In Love","Spacerider - Love At First Sight"
"THX 1138","What's wrong?","Chemlab","Filament","10 Ton Preasure "
"THX 1138","Performance perfect is perfect performance
  I was so afraid
  I wanted to touch you...
  ...so many times","ClockDVA","Memories of Sound","Man-Amplified"
"THX 1138","...combining with economic advantages of the linking structure far surpasses
   any disadvantages in increased perversions, a final note, an infinite 
   translated mathematics, tolerance and charity among artificial memory 
   devices is ultimately binary. Stimulating rhetoric, absolute. The theatre of
   noise is proof of our potential...","ClockDVA","Man-Amplified","Man-Amplified"
"THX 1138","If you feel you are not properly sedated, call immediately. Failure to do so
   may result in prosecution for criminal drug evasion.","din_fiv","Piss Christ","Infinity"
"THX 1138","I need something stronger
  Take 4 red capsules, in ten minutes, take two more","DJ Scud","Something Stronger","Mash The Place Up"
"THX 1138","[noise] What's wrong? @ 2:26
  [noise] What's wrong? Nevermind. @ 5:51","Doubting Thomas","F862","Infidel, The"
"THX 1138","My time is yours.","Effective Force","My Time Is Yours (Paul van Dyk remix)","Perspective"
"THX 1138","What's wrong?","Front 242","GVDT","Geography"
"THX 1138","We have to go back!  This is your last chance.
  1138 retract. [BING noise]. 1138 retract, someone's touching TTL integrated
   logic module. Switching to manual.
  Would you like a salt epidermal?
  1138 What's wrong?
  1138 You're getting Talbot contact
  We're tracked at 2.20, Vector oh seven niner, but we're making contact at
   point 0 0 3
  Now don't override here, this is critical.
  OK you can start your descent, thats it, slow down just a little bit, you're
   overriding point seven
  OK, hold it 1138","Front 242","Operating Tracks","Geography"
"THX 1138","'What's Wrong?'
   'What's Wrong?' @ 0:05","Ikeda, Ryoji","What's Wrong?","1000 Fragments"
"THX 1138","Could you be more specific?
  I need something stronger
  What's wrong?
  Take 4 red capsules, in ten minutes take 2 more
  My time is yours
  Our voices are not raised in any harmonious chorus
  But our differences are differences of empathy!
  We need a new unity!
  We must first choose a leader.
  One idea to get us out of here!
  Now don't tow the line here, this is critical
  I'm picking up your scene
  Take your sedation
  Yes, fine
  Excellent
  Mind block restricted
  Retract something is touching
  Back off for a second, just back off
  Cut the mind block","Laibach","Regime of Coincidence State of Gravity","Kapital"
"THX 1138","For more enjoyment and greater efficiency, consumption is being 
   standardized @ 1:00
  I need something stronger @ 3:16","Man with No Name","Neuro Tunnel","Distance to Goa 3 (Various Artist)"
"THX 1138","Properly sedated.
  Take 4 red capsules, help is on the way.","Moev","Crucify Me","Yeah Whatever"
"THX 1138","[sounds of beating a man in the introduction of the song]","Nine Inch Nails","Mr Self Destruct","Downward Spiral, The"
"THX 1138","What's wrong? @ 1:34, 2:16","Orbital","Out There Somewhere? (Part 1)","In Sides"
"THX 1138","What's wrong?
  I need something stronger
  Take 4 read capsules","Peace, Love and Pitbulls","What's Wrong","Peace, Love and Pitbulls"
"THX 1138","My time is yours","Peace, Love and Pitbulls","American Psycho","Peace, Love and Pitbulls"
"THX 1138","If you feel you are not properly sedated, call immediately. Failure to do
   so may result in prosecution for criminal drug evasion. @ 3:10","Penal Colony","Reconciled (Remix)","Industrial Revolution, 2nd Edition"
"THX 1138","If you feel you are not properly sedated, call 348 844 immediately. Failure
   to do so may result in prosecution for criminal drug evasion.","Reload","Rota Link","Collection of Short Stories, A"
"THX 1138","1642
  Try, 6, 2, 1","Reload","1642 Try 621","Collection of Short Stories, A"
"THX 1138","My time is yours.","Shamen, The","Omega Amigo","En-Tact"
"THX 1138","[beeping] What's wrong? Nothing really, I just feel I need something
   stronger. [distorted, repeated] @ 0:00
  If you have a problem, don't hesitate to ask for assistance. @ 0:22
  Can you feel this? What is that <???>? Are you now, or have you ever
   been? Hold slowly. I need something stronger. Take 4 red capsules. In 10
   minutes, take 2 more. Help is on the way. @ 1:51","U.N.K.L.E.","I Need Something Stronger","Never, Never, Land"
"King Jr, Martin Luther (Leader)","Let us move on @ 2:40 (Note: and then repeated several times)","Boogie Down Productions","Love's Gonna Get'Cha (Material Love)",""
"King Jr, Martin Luther (Leader)","...create confusion for its own sake, as a form of 
   revenge. @ 0:31, 1:07 (Note: cut up and repeated with distortion at 3:01)
  ...population growth, automation, and redistribution of population in
   sprawling cities. @ 2:17","Covenant","Voices","Dreams of a Cryotank"
"King Jr, Martin Luther (Leader)","I have a dream. @ 0:00 (Note: Repeated throughout song)
  I still have a dream. @ 0:33 (Note: repeated throughout song)
  (Note: Spoken in Washington, D.C. on 28 August 1963)","DJ Quicksilver","I Have A Dream (Video Mix)","Quicksilver"
"King Jr, Martin Luther (Leader)","I say to you today my friend [record scratch] though even thought we face
   the difficulties of today and tomorrow, I still have a dream. It is a dream
   deep-rooted in the american dream. I have a dream.","DJ Z-Trip","Sweet Dreams","Uneasy Listening, Volume 1"
"King Jr, Martin Luther (Leader)","I have a dream, that my four little children will one day live in a nation
   where they will not be judged by the color of their skin, but by the
   content of their character. I have a dream today @ 0:00","Fury in the Slaughterhouse","Angels & Saints","Color Fury, The"
"King Jr, Martin Luther (Leader)","I have a dream, that my four little children will one day live in a nation
   where they will not be judged by the color of their skin, but by the content
   of their character. @ 7:29
  So let freedom ring from the prodigious hilltops of New Hampshire. Let
   freedom ring from the mighty mountains of New York. Let freedom ring from
   the heightening Alleghenies of Pennsylvania. Let freedom ring from the
   snowcapped Rockies of Colorado. Let freedom ring from the curvaceous slopes
   of California. But not only that. Let freedom ring from Stone Mountain of
   Georgia. Let freedom ring from Lookout Mountain of Tennessee. Let freedom
   ring from every hill and mole hill of Mississippi. From every mountainside,
   let freedom ring. @ 7:45","","",""
"King Jr, Martin Luther (Leader)","Now is the time
  I have a dream
  One day this nation will rise up
  When all of God's children, black men and white men, Jews and gentiles, 
   Protestants and Catholics, will be able to join hands and sing in the words
   of the old Negro spiritual, 'Free at last! Free at last! Thank God Almighty
   we are free at last!'
  We cannot walk alone
  My four little children will one day live in a nation where they will not 
   be judged by the color of their skin, but by the content of their character.
   I have a dream today.
  With this faith, we will be able to work together, to pray together, to 
   struggle together, to go to jail together, to stand up for freedom together,
   knowing that we will be free one day.  This will be the day, this will be 
   the day when all of God's children...","Greater than One","Now Is The Time","London"
"King Jr, Martin Luther (Leader)","America is essentially a dream. @ 0:00
  It is the dream of a land where man of all races, of all nationalities, and
   of all creeds, can live together as brothers. @ 0:03
  We hold these truths to be self-evident: that all man are created 
   equal. @ 0:18","Heavy D & the Boyz","Better Land, A","Big Tyme"
"King Jr, Martin Luther (Leader)","I have a dream @ 0:17, 1:05","Horn, Ernst","Traum","Johnny Bumms Wake"
"King Jr, Martin Luther (Leader)","Children of darkness, children of light.
  Violent actions of the bad people, silence and indifference of the good
   people
  Our generation will have to repent","KMFDM","We Must Awaken","Money"
"King Jr, Martin Luther (Leader)","I've been to the mountain top @ 1:02","Kurtis Blow","America","America"
"King Jr, Martin Luther (Leader)","I don't know what will happen now. We have got some difficult days ahead. 
   But it really don't matter with me now, because I've been to the mountain
   top. [crowd cheering] @ 3:30
  But it really don't matter with me now, because I've been to the mountain
   top. [crowd cheering] I don't mind! @ 3:57","Maceo & the Macks","Soul Power '74","Maceo"
"King Jr, Martin Luther (Leader)","I have a dream one day this nation will rise up and live out the true 
   meaning of its creed @ 3:08
  I have a dream my four little children will one day live in a nation where
   they will not be judged by the color of their skin but by the content of
   their character. I have a dream today! @ 3:17","March On","Dream, The","March On"
"King Jr, Martin Luther (Leader)","From every mountainside, let freedom ring. @ 3:29
  From every village and every hamlet, from every state and every city, we 
   will be able to speed up that day when all of God's children, black men and
   white men, Jews and gentiles, Protestants and Catholics, will be able to
   join hands and sing in the words of the old Negro spiritual: Free at last!
   Free at last! Thank God Almighty, we are free at last! @ 3:31","March On","Martin","March On"
"King Jr, Martin Luther (Leader)","I have a dream that one day down in Alabama - with its vicious racists, with
   its Governor having his lips dripping with the words of interposition and 
   nullification - one day right there in Alabama, little black boys and little
   black girls will be able to join hands with little white boys and white 
   girls as brothers and sisters. I have a dream today!
  With this faith, we will be able hew out out of the mountains of despair
   a stone of hope. (Note: This line has been altered using other parts of 
   the speech because it was not originally spoken in the speech by Martin 
   Luther King)
  With this faith we will be able to transform the jangling discords of our
   nation into a beautiful symphony of brotherhood. With this faith we will be
   able to work together, to pray together, to struggle together, to go to jail
   together, to stand up for freedom together, knowing that we will be free one
   day.
  So let freedom ring from the prodigious hilltops of New Hampshire; let 
   freedom ring from the mighty mountains of New York; let freedom ring from 
   the heightening Alleghenies of Pennsylvania; let freedom ring from the snow-
   capped Rockies of Colorado.
  Let freedom ring from Stone Mountain of Georgia; let freedom ring from 
   Lookout Mountain of Tennessee; let freedom ring from every hill and mole 
   hill of Mississippi. From every mountainside, let freedom ring. And when 
   this happens...
  ...when we allow freedom to ring, when we let it ring from every villiage 
   and every hamlet, from every state and every city, we will be able to speed
   up that day when all of God's children, black men and white men, Jews and
   gentiles, Protestants and Catholics, we will be able to join hands and sing
   in the words of the old Negro spiritual: 'Free at last. Free at last. Thank
   God Almighty, we are free at last.","Moodswings","Spiritual High (Part III)","Moodfood by Moodswings"
"King Jr, Martin Luther (Leader)","I remember that Monday morning when I was subpoenaed to be in court @ 0:40
  Many things ran through my mind, and I started thinking about the people. 
   All day long, trying to think of something to say to the people. @ 0:56
  Are you ready for the question?  [cheer] ... but let it be known by 
   standing on your feet. [cheer] I want young men and young women who are not
   alive today to ... an individual with new privileges and new opportunities.
   I want them to know and see that these new privileges and opportunities did
   not come without somebody suffering and sacrificing for them. Freedom is
   never given to anybody. @ 1:15
  Like anybody I would like to live a long life. Longevity has it's place.
   But I'm not concerned about that know.  I just want to do God's will. And
   he has allowed me to go up to the mountain, and I've looked over and I've
   seen the promised land. I may not get there with you, but I want you to know
   tonight that we as a people will get to the promised land. [long cheer] So
   I'm happy tonight, I'm not worried about anything, I'm not fearing any man.
   Mine eyes have seen the glory of the coming of the coming of the Lord.
   [cheer] Glory hallelujah, glory hallelujah @ 2:04","OMD","Southern","Pacific Age, The"
"King Jr, Martin Luther (Leader)","So even though we face difficulties of today and tomorrow.
  I still have a dream.
  It is a dream deeply rooted in the American dream.
  I have a dream. That one day this nation will rise up and live out the true
   meaning of its creed.
  We hold these truths to be self-evident, that all men are created equal.
  I have a dream that one day on the red hills of Georgia, son...","Orb, The","Outlands","Orb Live 93"
"King Jr, Martin Luther (Leader)","I say to you, today. my friend, I still have a dream.
  I have a dream that one day this nation will rise up and live out the true
   meaning of its creed: 'We hold these truths to be self-evident, that all
   men are created equal.' It is a dream deeply rooted in the American dream.
   I have a dream that one day on the red hills of Georgia the sons of former
   slaves and the sons of former slaveowners will be able to sit down together
   at a table of brotherhood. I have a dream. I have a dream that one day down
   in Alabama with its vicious racists, with its governor having his lips
   dripping with the words of interposition and nullification, one day right
   there in Alabama, little black boys and black girls will be able to join
   hands with the little white boys and white girls as sisters and brothers. I
   have a dream. When we let it ring from every village and every hamlet, from
   every state and every city, we will be able to speed up that day when all
   of God's children, black men and white men, Jews and Gentiles, Protestants
   and Catholics, will be able to join hands and sing in the words of the old
   Negro spiritual: 'Free at last, free at last! Thank God Almighty, we are
   free at last!'. I still have a dream. I still have a dream. (Note: Speech
   has been mixed up a bit)","Out of the Ordinary","Dream (Ximmix Radio Edit), The","Tekkno Roots"
"King Jr, Martin Luther (Leader)","We will be able to transform the jangling discords of our nation into a
   beautiful symphony of brotherhood. @ 0:05, 4:40
  I have a dream @ 0:58 (Note: Repeated many times throughout track)","PPK","I Have A Dream","Russian Trance: Formation"
"King Jr, Martin Luther (Leader)","Free at last! @ 1:38 (Note: Repeated)","Sequencial","Psychotronic (Bells of Freedom)","Psychotronic"
"King Jr, Martin Luther (Leader)","I have a dream! @ 1:48","Snog","Born To Be Mild","Lies, Inc."
"King Jr, Martin Luther (Leader)","I say to you today, my friend. @ 0:00
  I still have... @ 0:03","Speed Freak, The","Sonic-Mine EP","Thunderdome (Compilation)"
"King Jr, Martin Luther (Leader)","The substance of the dream is expressed in these profound 
   words. @ 0:00 (Note: Repeated several times)","Three Times Dope","Increase The Peace/What's Going On","Original Stylin'"
"King Jr, Martin Luther (Leader)","I have a dream this afternoon. @ 0:04, 0:10, 
  I will go out. @ 0:07, 0:13, 0:23, 0:31
  Transform dark yesterdays into bright tomorrows. @ 2:01, 2:45, 3:45, 4:09
  Free at last! Free at last! Thank God Almighty... @ 3:06, 5:09
  Life, liberty... @ 4:19, 4:23, 4:31, 4:38, 4:46, 4:51","X Marks The Pedwalk","Repression","Freaks"
"Malcolm X (Leader)","All other revolutions in history have been bloody. The Russian revolution
   was bloody. The Chinese revolution was bloody. The French revolution was
   bloody. The Cuban revolution was bloody. Revolutions historically are always
   bloody. Now America is in a unique position to involve herself in a
   bloodless revolution by giving the 22 million Afro-Americans the ballot. And
   if they don't give the 22 million Afro-Americans the ballot and make 
   possible a bloodless revolution then they are going to force the Afro-
   Americans to use a ... @ 0:03","Afro's, The","Causin' Destruction","Kickin' Afrolistics"
"Malcolm X (Leader)","I will be more successful than all those that went before me. Because the
   time is right, the season is right, you are right, the traditions are right.
   We must go free! Now! Now is the time! @ 0:15","Atari Teenage Riot","Atari Teenage Riot","Burn, Berlin, Burn!"
"Malcolm X (Leader)","We don't care who likes us or not. As long as we know it's the truth. Much
   of what I say might sound bitter, but it's the truth. Much of what I say
   might sound like it's stirring up trouble, but it's the truth. @ 2:34
  You don't need any blades. You don't need any switchblades. All you need is
   the truth. They put you in jail for tearing a blade but they can't put you
   in jail for telling the truth. @ 3:08
  (Note: From the Harlem Unity Rally speech, August 10, 1963)","Boogie Down Productions","Scott La Rock Mega Mix, The (CD bonus track)","      Criminal Minded"
"Malcolm X (Leader)","Every time you look at yourself be you black, brown, red or yellow, a so
   called negro, you are, you represent a person who poses such a serious
   problem for America because you're not wanted. @ 0:55
  So we are all black people. So called negroes. Second class citizens. 
   Ex-slaves. You are nothing but an ex-slave. You don't like to be told that,
   but what else are you? You are ex-slaves, you didn't come here on the
   Mayflower. @ 1:47
  We unite, on the basis of what we have in common. And what we have foremost
   in common is that enemy: the white man. He's an enemy to all of us. I know
   some of you all think that some of them aren't enemies. @ 3:05
  (Note: From the Message to the Grass Roots speech, November 10, 1963)","Chubb Rock","Organizer","One, The"
"Malcolm X (Leader)","22 million black victims of Americanism are waking up. @ 0:33
  We gotta unite. We gotta work together in unity and harmony. @ 1:32","Def Jef","Black To The Future","Just A Poet With Soul"
"Malcolm X (Leader)","But when it comes to protecting the lives of 22 million Afro-Americans then
   all of a sudden Uncle Sam becomes very conscious of legality. @ 0:00
  He is trying to wipe you out. Trying to eliminate your total existance - 
   with falsehood and lies. And he's succeeding in doing it! @ 1:21
  We've got to come together. Pool our efforts, our strength, our finance and
   build our own nation. The Chinese did it: it's called Chinatown! @ 2:27
  Notice this: they put 'In God We Trust' on a dollar bill, they don't even
   have it on their church! It don't even open the verses of their bible, but
   on a dollar bill there's a big sign 'In God We Trust', correct? Then they
   have, on the back of the dollar bill: the key, the scales, the pyramids. 
   All the symbols of bondage, slavery, how they took the country, who they
   took it from, who you are: the builders of the pyramids without your eyes! 
   You're the builders of the pyramids without your eyes because you don't
   know you did it. Why don't he know? Because a traitor taught him to eat
   wrong food since he was a baby. Put pork in him. Has you eating pig's feet
   and rib. Has you living in his image. And took away your divinity and
   replacing it with his low animalization. [continues inaudible] @ 4:05","Ed O.G. & Da Bulldogs","Speak Upon It","Life Of A Kid In The Ghetto"
"Malcolm X (Leader)","Any means necessary for survival. @ 0:07","Front Line Assembly","Blade, The (Technohead)","Blade, The"
"Malcolm X (Leader)","If violence is wrong in America, violence is wrong abroad. If it's wrong to
   be violent defending black women and black children and black babies and
   black men, then it's wrong for America to draft us and make us violent
   abroad in defense of her. @ 0:01 (Note: From the Message to the Grass Roots
   speech, November 10, 1963)","Gang Starr","Tonz 'O' Gunz","Hard To Earn"
"Malcolm X (Leader)","Speaking as a black man from America, which is a racist society. No 
   matter how much you hear it talk about democracy it's as racist as South 
   Africa or as racist as Portugal or as racist as any other racialist 
   society on this earth. The only difference between it and South Africa: 
   South Africa preaches separation and practices separation. America 
   preaches integration and practices segregation. This is the only 
   difference. They don't practice what they preach. Or as South Africa 
   preaches and practices the same thing. I have more respect for a man 
   who let me know where he stands, even if he's wrong, then one who comes 
   up like an angel and is nothing but a devil. @ 0:00
  If Martin Luther King, Roy Wilkins or any of these compromising negroes who
   say exactly what the white man wants to hear, is interviewed anywhere in the
   country you don't get anybody to offset what they say. But whenever a black
   man stands up and says something that white people don't like then the first
   thing that white man does is run around and try and find somebody to say 
   something to offset what has just been said. This is natural, but it is 
   done. @ 1:11","Ice Cube","Integration","Predator, The"
"Malcolm X (Leader)","It's liberty or death. There's freedom for everybody or freedom for
   nobody. [crowd cheering] @ 0:33
  They don't wanna hear you old Uncle Tom handkerchieved hand talking about,
   uh, the odds, no! [crowd laughing] @ 0:56
  Revolutions overturn systems. [crowd cheering] Revolutions destroy 
   systems. [crowd cheering] @ 3:05
  (Note: All samples from the Ballot or the Bullet speech, April 12, 1964)","Immortal Technique","Revolutionary","Revolutionary Vol. 1"
"Malcolm X (Leader)","Brothers and sisters, and friends, and I see some enemies. [audience laughs
   and applauds] In fact I think we'd be fooling ourselves if we had a audience
   this large and didn't realize that there were some enemies present. @ 0:00
  (Note: From the Ballot or the Bullet speech, April 12, 1964)","Immortal Technique","No Mercy","Revolutionary Vol. 1"
"Malcolm X (Leader)","Too black @ 3:47
  Too strong @ 3:54
  (Note: From the Message to the Grass Roots speech, November 10, 1963)","Jungle Brothers","I'll House You","Straight Out The Jungle"
"Malcolm X (Leader)","Distinguished guests, brothers and sisters, ladies and gentlemen, friends 
   and enemies.
  No sellout!
  White, black, brown, red, yellow ... it doesn't make any difference what 
   colour you are.
  The only thing power respects, is power.
  They take one little word out of what you say, ignore all the rest, and then
   begin to magnify it all over the world to make you look like what you 
   actually aren't.
  Much of what I say might sound like it's stirring up trouble, but it's the 
   truth!
  No! It can be either this or that. This or that! If you're wrong you're 
   wrong and if you're right you're right.
  There be no <???>, no flimflam.
  No compromise, no sellout!
  No <???>
  You can't deny that! You might not like my saying it, but you can't deny 
   it!
  If you're afraid to tell the truth, God, you don't even deserve freedom.
  you can't say that you have gonna have an explosion and you leaving the 
   condition.
  And as long as those ingredients for the explosion, the ingredients remain,
   then you're going to have the potential for explosion on your hand.
  I got a plate in front of me but nothing is on it, uh, because all of us are
   sitting at the same table are all of us diners? I'm not a diner until you do
   let me dine, then I become a diner.
  I was in a house last night that was bombed I <???>
  It isn't something that made me lose confidence in what I'm doing.
  Brothers and sisters, friends ... and I see some enemies
  Malcolm X","LeBlanc, Keith","Malcolm X","Malcolm X (12")"
"Malcolm X (Leader)","And during the few moments that we have left @ 0:00
  We wanna talk right down to earth in a language that everybody here can
   easily understand. @ 0:03
  (Note: From the Message to the Grass Roots speech, November 10, 1963)","Living Colour","Cult of Personality","Vivid"
"Malcolm X (Leader)","If something is yours by right, then fight for it, or shut up. @ 0:00","Main Source","Vamos A Rapar","Breaking Atoms"
"Malcolm X (Leader)","We declare our right on this earth to be a man, to be a human being, to be
   respected as a human being, to be given the rights of a human being, in
   this society, on this earth, in this day,  which we intend to bring into
   existance by any means necessary. [crowd cheering] @ 1:55","Paris","Break the Grip of Shame","Devil Made Me Do It, The"
"Malcolm X (Leader)","Too black (Note: Repeated several times)
  Too strong (Note: Repeated several times)
  (Note: From the Message to the Grass Roots speech, November 10, 1963)","Public Enemy","Bring The Noise","      It Takes a Nation of Millions To Hold Us Back"
"Malcolm X (Leader)","The government will not protect us or defend us or find those who have
   brutalized us and made us the victims for the past 400 years, that it is
   time for us to do whatever is necessary to defend ourselves. @ 1:23","Public Enemy","Party For Your Right To Fight","      It Takes a Nation of Millions To Hold Us Back"
"Malcolm X (Leader)","...be non-violent. In the face of the violence that we've been, uh, 
   experiencing for the past 400 years, it actually's been doing our people
   a disservice. In fact it's a crime. It's a crime... @ 0:17","Public Enemy","Can't Truss It","Apocalypse 91... The Enemy Strikes Black"
"Malcolm X (Leader)","And it wasn't a dream. This was a nightmare. (Note: Repeated several times)","Ruthless Rap Assassins","And It Wasn't A Dream","Killer Album"
"Malcolm X (Leader)","Let's run away (Note: Repeated several times)
  Let's escape (Note: Repeated several times)
  (Note: From the Message to the Grass Roots speech, November 10, 1963)","Showbiz & AG","Runaway Slave","Runaway Slave"
"Malcolm X (Leader)","You don't catch hell because you're a Methodist or a Baptist, you don't 
   catch hell because you're a Democrat or a Republican. You don't catch hell
   because you're a Mason or an Elk. And you sure don't catch hell 'cause
   you're an American... 'cause if you was an American you wouldn't catch no
   hell. You catch hell 'cause you're a black man. @ 0:31 (Note: From the
   Message to the Grass Roots speech, November 10, 1963)","Showbiz & AG","Hard to Kill","Runaway Slave"
"Malcolm X (Leader)","We all agree tonight, all of the speakers have agreed, that America has
   a very serious problem. Not only does America have a very serious
   problem, but our people have a very serious problem. America's problem
   is... @ 0:00  (Note: From the Message to the Grass Roots speech, November
   10, 1963)","","",""
"Malcolm X (Leader)","I wanna talk right down to earth in a language that everybody here can 
   easily understand. @ 1:29
  We all agreed @ 1:37
  Our people have a very serious problem. @ 1:42
  (Note: From the Message to the Grass Roots speech, November 10, 1963)","Three Times Dope","Increase The Peace/What's Going On","Original Stylin'"
"Malcolm X (Leader)","I don't see any American dream, I see an American nightmare! @ 0:13, 0:19,
   0:25, 0:32, 1:17, 1:23, 2:08, 2:14, 4:19, 4:26, 4:33, 4:39, 4:59, 5:05,
   5:11, 5:18, 5:24, 5:30, 5:37, 5:43","","",""
"Matrix, The","It is the world, that has been pulled over your eyes, to blind you from the
   truth. @ 0:00, 1:18, 1:25, 1:57
  The matrix is everywhere, it is all around us, even now in this very room.
   You can see it when you look out the window, or when you turn on your
   television. You can feel it, when you go to work, when you go to church,
   when you pay your taxes. @ 1:31, 2:51 (Note: Partly used at 2:43 and 4:10,
   and partly at 0:41, 0:49, 2:07, 2:13, 3:20, 3:28 and 4:15)","Accessory","Matrix","Titan"
"Matrix, The","We have survived by hiding from them... by running from them. But they are
   the gatekeepers. They are guarding all the doors, they are holding all the
   keys, which means that sooner or later, someone is going to have to fight
   them. @ 0:08, 1:54 (Note: Morpheus talking to Neo)
  Someone is going to have to fight them. @ 0:36, 1:15, 2:51, 3:48 (Note:
   Morpheus talking to Neo)
  Every single man or woman who has stood their ground, everyone who has
   fought an agent has died. But where they have failed, you will
   succeed. @ 2:08 (Note: Morpheus talking to Neo)
  I've seen an agent punch through a concrete wall. Men have emptied entire
   clips and hit nothing but air. Yet their strength is and their speed are
   still based in a world that is built on rules, and because of that, they
   will never be as strong or as fast as you can be. @ 2:17 (Note: Morpheus
   talking to Neo)","Agonoize","Against","Evilution"
"Matrix, The","You take the blue pill, the story ends, you wake up in your bed and believe
   whatever you wanted. @ 0:00, 0:06 (Note: Morpheus)
  ...stay in wonderland. @ 1:21, 1:39, 3:15, 4:53 (Note: Morpheus)","Aslan Faction","Compilation","Blunt Force Trauma"
"Matrix, The","You take the blue pill, the story ends, you wake up and believe whatever
   you want to. You take the red pill, you stay in wonderland, and I show you
   how deep the rabbithole goes.","Aslan Faction","DNA Download","Blunt Force Trauma"
